Track,Artist,Album,Similarity
Where Are You Now,Lost Frequencies,Where Are You Now,0.922868433475669
Where Are You Now,Calum Scott,Where Are You Now,0.9227846474297536
The Business,TiÃ«sto,The Business,0.9207136070833858
I Like Me Better,Lauv,I met you when I was 18. (the playlist),0.9119259659881203
In My Mind,Gigi D'Agostino,In My Mind,0.8974039823157193
No Role Modelz,J. Cole,2014 Forest Hills Drive,0.8942294680428688
Eastside (with Halsey & Khalid),Halsey,FRIENDS KEEP SECRETS,0.8895175042614045
Love Yourself,Justin Bieber,Purpose (Deluxe),0.8824358743599464
Issues,Julia Michaels,Nervous System,0.8785260339773744
Hope,XXXTENTACION,?,0.8720849091444467
